date,title,review,rating,author,version,language
2024-04-30 15:44:03,Stay Calm,整體好騎、租還車方便。但希望： 1.能夠將車子加裝方向燈及它的按鍵，否則轉彎時後面的車都不知道自己是要左轉還是右轉 2.「先用腳嚕、再按電門，方可開始騎乘」這點在很多上坡的東海大學真的不太方便，很多時候在上坡起步，卻會因為車子判定沒有人工移動而導致按電門一直沒反應。希望能夠改成在握把旁增加一個按鈕，按一下後，便可按電門騎乘,4,Stay Calm,5.24.0,zh-TW
2024-04-28 18:11:25,Otaku liao,被蚊子咬,5,Otaku liao,5.24.0,zh-TW
2024-04-22 17:39:01,Raining off,更新還是一樣爛 租個車幹嘛要我定位，這是不是有資安風險 更何況你們車上根本就有放定位系統，多此一舉,1,Raining off,5.23.0,zh-TW
2024-04-14 22:46:36,櫻桃酒,超讚,5,櫻桃酒,5.23.0,zh-TW
2024-04-13 23:40:32,許小茵,很方便，駁二很大 這超方便,5,許小茵,5.23.0,zh-TW
2024-04-04 20:24:31,林志榮,在駁二騎滑板車，很好的體驗,5,林志榮,5.23.0,zh-TW
2024-04-02 21:17:04,岳光仙子,金喝勝,5,岳光仙子,5.23.0,zh-TW
2024-03-23 16:26:00,Chiu Sandues,方便好用,5,Chiu Sandues,5.23.0,zh-TW
2024-03-18 23:09:44,廷king,希望能用超商繳費然後桃園都沒ˋ站點,5,廷king,5.23.0,zh-TW
2024-03-17 21:07:50,man man Shen,很有趣的新奇體驗 喜歡,5,man man Shen,5.23.0,zh-TW
2024-03-13 15:53:02,ZHOU,有點貴,5,ZHOU,5.23.0,zh-TW
2024-03-08 08:30:35,家有三寶爸日常,蠻不錯的騎乘體驗下次還會再繼續租借,5,家有三寶爸日常,5.23.0,zh-TW
2024-02-21 13:22:32,大熊貓眼,爛產品 動不動更新,1,大熊貓眼,5.20.0,zh-TW
2024-02-21 09:04:03,陳柏維,兩個人同時預約要讓別人雙排是嗎？,2,陳柏維,5.23.0,zh-TW
2024-02-20 16:26:22,陳志宏,騎1hr要100元以上，小心。跟租車價格差不多。不過就好玩，玩玩,2,陳志宏,5.23.0,zh-TW
2024-02-11 17:23:43,張議中,省時省力好工具！,5,張議中,5.22.1,zh-TW
2024-02-10 15:36:14,godming huang,申請快速，借還方便,5,godming huang,5.22.1,zh-TW
2024-02-10 14:20:39,恩光堂浸信會陳妤玫,便利,5,恩光堂浸信會陳妤玫,5.22.1,zh-TW
2024-02-10 12:52:42,Hugh Lin,跟女友在東海裡騎，很好玩,5,Hugh Lin,5.22.1,zh-TW
2024-02-03 13:38:28,Nell Chang,還不錯玩,5,Nell Chang,5.22.1,en
2024-01-06 15:08:23,Justin Hsiao,車都在交大 清大車超級少,4,Justin Hsiao,5.20.0,zh-TW
2023-12-31 17:05:56,周小魚,第一次體驗，真有趣。,5,周小魚,5.20.0,zh-TW
2023-12-24 10:37:40,林恆毅,好,5,林恆毅,5.20.0,zh-TW
2023-12-18 04:40:22,林大仙,現在學生真爽,4,林大仙,5.20.0,zh-TW
2023-12-13 21:43:38,Huang Ian (阿誠),便利快速，價格低廉,5,Huang Ian (阿誠),5.20.0,zh-TW
2023-12-10 14:27:26,康小建,蠻方便的,5,康小建,5.20.0,zh-TW
2023-12-09 13:38:13,林泰平,20231209清大,5,林泰平,5.20.0,zh-TW
2023-11-26 16:04:54,陳琳,棒,5,陳琳,5.20.0,zh-TW
